State         Time      Voltage         mAh_exp         csa_NJc    Cycle_Number         fail_id     Theta_Alpha Theta_Beta_edge         csb_NJc      Theta_Beta
  CDR        hours        Volts             mAh         mol/cm3               ,               .               ,               ,            conc
   D       0.32254      2.59123     2.00320E+00     9.14767E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.32532      2.58896     2.02046E+00     9.22774E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.32811      2.58666     2.03773E+00     9.30890E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.33089      2.58432     2.05500E+00     9.39127E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.33367      2.58194     2.07227E+00     9.47494E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.33645      2.57952     2.08954E+00     9.56002E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.33923      2.57705     2.10681E+00     9.64656E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.34201      2.57453     2.12408E+00     9.73461E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.34479      2.57196     2.14135E+00     9.82418E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.34757      2.56933     2.15862E+00     9.91527E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.35035      2.56664     2.17588E+00     1.00078E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.35313      2.56390     2.19315E+00     1.01017E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.35591      2.56109     2.21042E+00     1.01968E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.35869      2.55821     2.22769E+00     1.02929E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.36147      2.55527     2.24496E+00     1.03899E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.36425      2.55226     2.26223E+00     1.04874E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.36703      2.54920     2.27950E+00     1.05852E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.36981      2.54606     2.29677E+00     1.06831E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.37259      2.54287     2.31404E+00     1.07809E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.37537      2.53963     2.33130E+00     1.08782E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.37816      2.53634     2.34857E+00     1.09750E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.38094      2.53300     2.36584E+00     1.10710E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.38372      2.52963     2.38311E+00     1.11662E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.38650      2.52622     2.40038E+00     1.12606E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.38928      2.52279     2.41765E+00     1.13539E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.39206      2.51934     2.43492E+00     1.14463E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.39484      2.51587     2.45219E+00     1.15377E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.39762      2.51239     2.46946E+00     1.16281E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.40040      2.50891     2.48672E+00     1.17177E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.40318      2.50542     2.50399E+00     1.18064E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     2.77609E-08
   D       0.40596      2.50194     2.52126E+00     1.18943E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     2.64875E-06
   D       0.40875      2.49850     2.53856E+00     1.19814E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     1.21318E-05
   D       0.41154      2.49501     2.55592E+00     1.20682E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     3.19628E-05
   D       0.41434      2.49152     2.57328E+00     1.21545E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     6.55503E-05
   D       0.41713      2.48803     2.59064E+00     1.22403E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     1.16271E-04
   D       0.41993      2.48455     2.60800E+00     1.23256E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     1.87461E-04
   D       0.42272      2.48107     2.62536E+00     1.24105E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     2.82413E-04
   D       0.42552      2.47760     2.64272E+00     1.24952E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     4.04383E-04
   D       0.42831      2.47413     2.66008E+00     1.25796E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     5.56583E-04
   D       0.43111      2.47065     2.67744E+00     1.26638E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     7.42189E-04
   D       0.43390      2.46718     2.69480E+00     1.27479E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     9.64344E-04
   D       0.43670      2.46370     2.71216E+00     1.28320E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     1.22619E-03
   D       0.43949      2.46022     2.72952E+00     1.29161E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     1.53083E-03
   D       0.44229      2.45673     2.74688E+00     1.30002E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     1.88136E-03
   D       0.44508      2.45323     2.76424E+00     1.30844E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     2.28086E-03
   D       0.44788      2.44972     2.78159E+00     1.31687E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     2.73243E-03
   D       0.45067      2.44619     2.79895E+00     1.32533E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     3.23920E-03
   D       0.45347      2.44264     2.81631E+00     1.33381E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     3.80440E-03
   D       0.45626      2.43907     2.83367E+00     1.34231E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     4.43135E-03
   D       0.45906      2.43548     2.85103E+00     1.35084E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     5.12341E-03
   D       0.46185      2.43187     2.86839E+00     1.35940E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     5.88413E-03
   D       0.46465      2.42822     2.88575E+00     1.36799E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     6.71741E-03
   D       0.46744      2.42455     2.90311E+00     1.37662E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     7.62734E-03
   D       0.47024      2.42085     2.92047E+00     1.38527E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     8.61870E-03
   D       0.47303      2.41712     2.93783E+00     1.39395E+00     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     9.69725E-03
   D       0.47583      2.41335     2.95519E+00     1.40266E+00     1.00000E+00     0.00000E+00     9.99993E-01     6.50950E-06     2.90183E+00     1.08718E-02
   D       0.47862      2.40956     2.97255E+00     1.41138E+00     1.00000E+00     0.00000E+00     9.99884E-01     1.16375E-04     2.90266E+00     1.21580E-02
   D       0.48142      2.40572     2.98991E+00     1.42010E+00     1.00000E+00     0.00000E+00     9.99638E-01     3.61815E-04     2.90337E+00     1.35580E-02
   D       0.48422      2.40186     3.00727E+00     1.42879E+00     1.00000E+00     0.00000E+00     9.99257E-01     7.42538E-04     2.90409E+00     1.50706E-02
   D       0.48701      2.39796     3.02463E+00     1.43746E+00     1.00000E+00     0.00000E+00     9.98742E-01     1.25806E-03     2.90484E+00     1.66943E-02
